L1,C,L1L2,L2,AaA,LoR,Edu.day,Sex,Family,ISO639.3,Enroll,Speaking,morph,lex,new_feat,new_sounds
Russian,USSR,RussianMonolingual,Monolingual,24,7,3,Female,Indo-European,rus ,90,547,0.0468,0.396083,12,22
Romanian,Romania,RomanianEnglish,English,24,2,4,Female,Indo-European,ron ,86,565,0.0276,0.41365,24,20
Russian,USSR,RussianEnglish,English,22,2,3,Female,Indo-European,rus ,90,519,0.0468,0.396083,12,22
Kurdish,Iraq,KurdishArabic,Arabic,22,3,1,Male,Indo-European,kur ,47,495,0.0523,0.4257,11,22
French,France,FrenchEnglish,English,26,0,4,Female,Indo-European,fra ,113,576,0.0128,0.398095,10,15
Russian,Russia,RussianEnglish,English,25,4,3,Female,Indo-European,rus ,84,562,0.0468,0.396083,12,22
Russian,USSR,RussianRomansch,Romansch,23,7,1,Female,Indo-European,rus ,90,490,0.0468,0.396083,12,22
Armenian,Armenia,ArmenianRussian,Russian,16,9,3,Male,Indo-European,hye ,88,518,0.0298,0.492995,21,23
Romanian,Romania,RomanianEnglish,English,22,3,3,Female,Indo-European,ron ,86,553,0.0276,0.41365,24,20
Italian,Italy,ItalianEnglish,English,24,3,4,Female,Indo-European,ita ,99,468,-0.0011,0.358612,17,18
English,UnitedKingdom,EnglishMonolingual,Monolingual,21,2,1,Female,Indo-European,eng ,105,542,0.0094,0.083191,11,19
Portugese,Brazil,PortugeseEnglish,English,25,4,4,Female,Indo-European,por ,106,515,0.0586,0.4087,15,18
Chinese,China,ChineseEnglish,English,22,2,4,Female,Sino-Tibetan,zho ,67,536,0.2937,0.595079,NA,NA
Armenian,USSR,ArmenianRussian,Russian,25,6,3,Female,Indo-European,hye ,90,468,0.0298,0.492995,21,23
Vietnamese,Vietnam,VietnameseEnglish,English,19,4,3,Female,Austro-Asiatic,vie ,67,503,0.2859,0.595079,17,19
Romanian,Romania,RomanianEnglish,English,25,1,3,Female,Indo-European,ron ,86,538,0.0276,0.41365,24,20
Turkish,Turkey,TurkishMonolingual,Monolingual,26,2,3,Male,Altaic,tur ,79,472,0.05,0.595079,8,20
Serbian,Yugoslavia,SerbianEnglish,English,18,2,3,Female,Indo-European,srp ,85,489,0.0638,0.395005,11,19
Bulgarian,Bulgaria,BulgarianEnglish,English,19,3,3,Female,Indo-European,bul ,90,499,0.0642,0.411091,12,21
Turkish,Turkey,TurkishMonolingual,Monolingual,12,8,2,Female,Altaic,tur ,79,503,0.05,0.595079,8,20
Serbian,Yugoslavia,SerbianEnglish,English,18,2,2,Female,Indo-European,srp ,85,509,0.0638,0.395005,11,19
Polish,Poland,PolishGerman,German,19,3,3,Female,Indo-European,pol ,100,514,0.0479,0.388004,14,25
Czech,Czechslowakia,CzechEnglish,English,20,1,3,Female,Indo-European,ces ,90,562,0.054,0.38518,9,15
Albanian,Yugoslavia,AlbanianCroatian,Croatian,22,3,3,Female,Indo-European,sqi ,85,531,0.0412,0.595079,11,21
Czech,Czechslowakia,CzechGerman,German,18,1,3,Female,Indo-European,ces ,90,588,0.054,0.38518,9,15
Arabic,Morocco,ArabicFrench,French,27,4,4,Male,Afro-Asiatic,ara ,49,462,0.0638,0.595079,21,24
German,Austria,GermanEnglish,English,25,2,3,Female,Indo-European,deu ,100,626,-0.0171,0.037325,6,13
Chinese,China,ChineseEnglish,English,22,2,3,Female,Sino-Tibetan,zho ,67,476,0.2937,0.595079,NA,NA
Russian,USSR,RussianEnglish,English,22,1,3,Male,Indo-European,rus ,90,504,0.0468,0.396083,12,22
Arabic,Iraq,ArabicEnglish,English,30,9,3,Male,Afro-Asiatic,ara ,47,489,0.0638,0.595079,21,24
Bengali,Bangladesh,BengaliEnglish,English,26,4,3,Female,Indo-European,ben ,43,495,NA,0.525397,32,24
Chinese,Taiwan,ChineseEnglish,English,27,4,3,Female,Sino-Tibetan,zho ,67,479,0.2937,0.595079,NA,NA
Bulgarian,Bulgaria,BulgarianMonolingual,Monolingual,24,5,4,Female,Indo-European,bul ,90,489,0.0642,0.411091,12,21
Turkish,Turkey,TurkishMonolingual,Monolingual,21,4,3,Male,Altaic,tur ,79,447,0.05,0.595079,8,20
Kurdish,Iraq,KurdishArabic,Arabic,20,2,3,Male,Indo-European,kur ,47,494,0.0523,0.4257,11,22
Persian,Iran,PersianMonolingual,Monolingual,32,4,3,Male,Indo-European,fas ,77,446,0.0603,0.555295,21,21
Somali,Somalia,SomaliEnglish,English,20,4,3,Female,Afro-Asiatic,som ,8,515,0.042,0.595079,21,20
English,UnitedKingdom,EnglishMonolingual,Monolingual,33,8,4,Female,Indo-European,eng ,105,512,0.0094,0.083191,11,19
Arabic,Morocco,ArabicMonolingual,Monolingual,17,4,1,Male,Afro-Asiatic,ara ,49,486,0.0638,0.595079,21,24
Albanian,Albania,AlbanianEnglish,English,29,1,4,Male,Indo-European,sqi ,78,509,0.0412,0.595079,11,21
Croatian,Yugoslavia,CroatianRussian,Russian,35,3,4,Female,Indo-European,hrv ,85,511,0.0638,0.395005,11,19
Lithuanian,USSR,LithuanianEnglish,English,20,2,3,Female,Indo-European,lit ,90,551,0.0892,0.371065,7,18
Persian,Iran,PersianMonolingual,Monolingual,36,4,3,Male,Indo-European,fas ,77,486,0.0603,0.555295,21,21
Arabic,Netherlands,ArabicFrench,French,16,2,3,Male,Afro-Asiatic,ara ,118,520,0.0638,0.595079,21,24
Finnish,Finland,FinnishEnglish,English,22,1,4,Female,Uralic,fin ,111,487,0.0277,0.595079,13,17
Indonesian,Indonesia,IndonesianEnglish,English,23,3,3,Male,Austronesian,ind ,64,480,0.1461,0.595079,19,20
Serbian,Yugoslavia,SerbianEnglish,English,23,2,3,Female,Indo-European,srp ,85,537,0.0638,0.395005,11,19
Arabic,Lebanon,ArabicFrench,French,42,7,4,Male,Afro-Asiatic,ara ,83,468,0.0638,0.595079,21,24
Indonesian,Indonesia,IndonesianEnglish,English,30,2,4,Female,Austronesian,ind ,64,481,0.1461,0.595079,19,20
Turkish,Turkey,TurkishEnglish,English,21,5,3,Female,Altaic,tur ,79,531,0.05,0.595079,8,20
German,Switzerland,GermanEnglish,English,24,1,3,Male,Indo-European,deu ,94,565,-0.0171,0.037325,6,13
Serbian,Yugoslavia,SerbianEnglish,English,33,2,4,Male,Indo-European,srp ,85,513,0.0638,0.395005,11,19
Arabic,Morocco,ArabicFrench,French,27,2,4,Male,Afro-Asiatic,ara ,49,566,0.0638,0.595079,21,24
Persian,Iran,PersianEnglish,English,24,2,3,Male,Indo-European,fas ,77,458,0.0603,0.555295,21,21
English,Australia,EnglishJapanese,Japanese,39,1,4,Male,Indo-European,eng ,148,549,0.0094,0.083191,11,19
Russian,Russia,RussianChinese,Chinese,25,7,4,Female,Indo-European,rus ,84,603,0.0468,0.396083,12,22
Croatian,Yugoslavia,CroatianMonolingual,Monolingual,29,2,3,Female,Indo-European,hrv ,85,544,0.0638,0.395005,11,19
Kurdish,Turkey,KurdishRomanian,Romanian,35,4,4,Male,Indo-European,kur ,79,506,0.0523,0.4257,11,22
Kurdish,Syria,KurdishArabic,Arabic,27,2,4,Female,Indo-European,kur ,67,461,0.0523,0.4257,11,22
Arabic,Netherlands,ArabicFrench,French,22,7,4,Female,Afro-Asiatic,ara ,118,497,0.0638,0.595079,21,24
French,France,FrenchEnglish,English,5,13,3,Male,Indo-European,fra ,113,672,0.0128,0.398095,10,15
Persian,Afghanistan,PersianEnglish,English,34,3,4,Male,Indo-European,fas ,19,514,0.0603,0.555295,21,21
Persian,Iran,PersianMonolingual,Monolingual,26,6,4,Male,Indo-European,fas ,77,523,0.0603,0.555295,21,21
Portugese,Mozambique,PortugeseEnglish,English,24,3,3,Male,Indo-European,por ,13,501,0.0586,0.4087,15,18
Chinese,China,ChineseMonolingual,Monolingual,24,11,4,Female,Sino-Tibetan,zho ,67,452,0.2937,0.595079,NA,NA
English,NewZealand,EnglishMonolingual,Monolingual,30,9,3,Male,Indo-European,eng ,120,506,0.0094,0.083191,11,19
Kurdish,Iraq,KurdishArabic,Arabic,31,4,3,Male,Indo-European,kur ,47,479,0.0523,0.4257,11,22
German,Germany,GermanEnglish,English,32,9,4,Female,Indo-European,deu ,101,579,-0.0171,0.037325,6,13
Armenian,Armenia,ArmenianRussian,Russian,33,1,3,Female,Indo-European,hye ,88,518,0.0298,0.492995,21,23
Czech,Czechslowakia,CzechGerman,German,25,1,3,Female,Indo-European,ces ,90,555,0.054,0.38518,9,15
Romanian,Moldova,RomanianRussian,Russian,19,2,3,Female,Indo-European,ron ,88,512,0.0276,0.41365,24,20
Armenian,Iraq,ArmenianRussian,Russian,15,3,3,Male,Indo-European,hye ,47,497,0.0298,0.492995,21,23
Hungarian,Hungary,HungarianEnglish,English,25,9,4,Female,Uralic,hun ,96,580,0.0101,0.595079,6,13
Arabic,Morocco,ArabicMonolingual,Monolingual,21,2,3,Male,Afro-Asiatic,ara ,49,507,0.0638,0.595079,21,24
Armenian,Armenia,ArmenianRussian,Russian,23,5,4,Female,Indo-European,hye ,88,505,0.0298,0.492995,21,23
Turkish,Turkey,TurkishEnglish,English,32,1,3,Female,Altaic,tur ,79,497,0.05,0.595079,8,20
Czech,CzechRepublic,CzechEnglish,English,25,3,3,Female,Indo-European,ces ,95,501,0.054,0.38518,9,15
Norwegian,Norway,NorwegianEnglish,English,37,2,3,Female,Indo-European,nor ,113,551,-0.0076,0.1598,14,24
Italian,Italy,ItalianEnglish,English,28,1,4,Male,Indo-European,ita ,99,487,-0.0011,0.358612,17,18
German,Germany,GermanCroatian,Croatian,31,4,4,Female,Indo-European,deu ,101,577,-0.0171,0.037325,6,13
Latvian,Latvia,LatvianGerman,German,31,1,4,Female,Indo-European,lav ,99,494,0.0553,0.363589,7,18
Chinese,China,ChineseEnglish,English,32,3,4,Female,Sino-Tibetan,zho ,67,495,0.2937,0.595079,NA,NA
Bulgarian,Bulgaria,BulgarianEnglish,English,26,3,3,Female,Indo-European,bul ,90,509,0.0642,0.411091,12,21
French,France,FrenchDanish,Danish,25,10,1,Female,Indo-European,fra ,113,576,0.0128,0.398095,10,15
Russian,USSR,RussianMonolingual,Monolingual,39,3,2,Female,Indo-European,rus ,90,487,0.0468,0.396083,12,22
Rundi,Burundi,RundiFrench,French,20,3,3,Male,Niger-Congo,xxx ,13,477,0.0623,0.595079,19,20
Arabic,Iraq,ArabicEnglish,English,17,2,3,Female,Afro-Asiatic,ara ,47,530,0.0638,0.595079,21,24
Romanian,Romania,RomanianEnglish,English,24,3,1,Female,Indo-European,ron ,86,555,0.0276,0.41365,24,20
Spanish,Colombia,SpanishEnglish,English,25,4,3,Female,Indo-European,spa ,82,488,0.0193,0.398649,18,23
Polish,Poland,PolishRussian,Russian,34,2,4,Female,Indo-European,pol ,100,489,0.0479,0.388004,14,25
Indonesian,Indonesia,IndonesianEnglish,English,41,2,4,Female,Austronesian,ind ,64,525,0.1461,0.595079,19,20
German,Germany,GermanEnglish,English,27,1,3,Female,Indo-European,deu ,101,522,-0.0171,0.037325,6,13
Russian,USSR,RussianMonolingual,Monolingual,38,3,4,Female,Indo-European,rus ,90,521,0.0468,0.396083,12,22
Portugese,Brazil,PortugeseItalian,Italian,22,4,3,Male,Indo-European,por ,106,467,0.0586,0.4087,15,18
German,Germany,GermanEnglish,English,31,1,3,Female,Indo-European,deu ,101,590,-0.0171,0.037325,6,13
Portugese,Brazil,PortugeseEnglish,English,28,3,4,Female,Indo-European,por ,106,509,0.0586,0.4087,15,18
English,Australia,EnglishMonolingual,Monolingual,28,3,4,Male,Indo-European,eng ,148,528,0.0094,0.083191,11,19
Chinese,China,ChineseEnglish,English,33,6,4,Female,Sino-Tibetan,zho ,67,536,0.2937,0.595079,NA,NA
Arabic,Morocco,ArabicFrench,French,33,2,3,Male,Afro-Asiatic,ara ,49,456,0.0638,0.595079,21,24
Norwegian,Norway,NorwegianEnglish,English,26,1,4,Female,Indo-European,nor ,113,581,-0.0076,0.1598,14,24
French,"Congo,DemocraticRepublicofthe",FrenchEnglish,English,27,2,3,Male,Indo-European,fra ,22,486,0.0128,0.398095,10,15
Spanish,Peru,SpanishEnglish,English,23,1,3,Female,Indo-European,spa ,85,467,0.0193,0.398649,18,23
Serbian,Yugoslavia,SerbianEnglish,English,23,1,3,Female,Indo-European,srp ,85,523,0.0638,0.395005,11,19
Hungarian,Hungary,HungarianGerman,German,26,4,3,Female,Uralic,hun ,96,525,0.0101,0.595079,6,13
Swahili,"Congo,DemocraticRepublicofthe",SwahiliFrench,French,26,4,4,Female,Niger-Congo,swa ,22,455,0.0623,0.595079,15,20
Kurdish,Iran,KurdishPersian,Persian,37,2,4,Male,Indo-European,kur ,77,469,0.0523,0.4257,11,22
German,Germany,GermanEnglish,English,21,1,3,Female,Indo-European,deu ,101,592,-0.0171,0.037325,6,13
Ukranian,Ukraine,UkranianEnglish,English,26,1,3,Female,Indo-European,ukr ,92,510,0.0468,0.3941,20,22
Finnish,Finland,FinnishEnglish,English,35,7,3,Female,Uralic,fin ,111,551,0.0277,0.595079,13,17
Czech,Czechslowakia,CzechGerman,German,22,0,2,Female,Indo-European,ces ,90,570,0.054,0.38518,9,15
Arabic,Morocco,ArabicFrench,French,29,1,4,Male,Afro-Asiatic,ara ,49,464,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,21,0,1,Female,Indo-European,deu ,101,487,-0.0171,0.037325,6,13
Serbian,Australia,SerbianEnglish,English,42,2,3,Female,Indo-European,srp ,148,523,0.0638,0.395005,11,19
German,Germany,GermanEnglish,English,30,2,2,Female,Indo-European,deu ,101,572,-0.0171,0.037325,6,13
Serbian,Yugoslavia,SerbianMonolingual,Monolingual,27,5,1,Female,Indo-European,srp ,85,512,0.0638,0.395005,11,19
Persian,Iran,PersianEnglish,English,18,3,3,Female,Indo-European,fas ,77,463,0.0603,0.555295,21,21
Arabic,Morocco,ArabicFrench,French,25,1,1,Male,Afro-Asiatic,ara ,49,464,0.0638,0.595079,21,24
Tagalog,Philippines,TagalogEnglish,English,31,2,2,Female,Austronesian,tgl ,83,474,0.2423,0.595079,24,22
Kurdish,Iraq,KurdishMonolingual,Monolingual,20,5,1,Female,Indo-European,kur ,47,468,0.0523,0.4257,11,22
Romanian,Romania,RomanianMonolingual,Monolingual,41,3,4,Male,Indo-European,ron ,86,472,0.0276,0.41365,24,20
Hebrew,Israel,HebrewEnglish,English,22,2,3,Female,Afro-Asiatic,heb ,93,541,NA,0.595079,25,23
Arabic,Algeria,ArabicFrench,French,31,3,3,Male,Afro-Asiatic,ara ,83,507,0.0638,0.595079,21,24
Turkish,Turkey,TurkishEnglish,English,22,2,3,Male,Altaic,tur ,79,496,0.05,0.595079,8,20
English,Australia,EnglishMonolingual,Monolingual,37,3,4,Female,Indo-European,eng ,148,469,0.0094,0.083191,11,19
Kurdish,Turkey,KurdishEnglish,English,0,36,3,Male,Indo-European,kur ,79,482,0.0523,0.4257,11,22
Spanish,Argentina,SpanishEnglish,English,21,4,2,Male,Indo-European,spa ,86,561,0.0193,0.398649,18,23
French,Belgium,FrenchEnglish,English,25,1,4,Female,Indo-European,fra ,109,528,0.0128,0.398095,10,15
Persian,Iran,PersianMonolingual,Monolingual,30,5,3,Female,Indo-European,fas ,77,538,0.0603,0.555295,21,21
French,Aruba,FrenchEnglish,English,17,2,2,Female,Indo-European,fra ,100,474,0.0128,0.398095,10,15
Spanish,Mexico,SpanishEnglish,English,21,3,1,Male,Indo-European,spa ,83,414,0.0193,0.398649,18,23
Turkish,Turkey,TurkishMonolingual,Monolingual,18,3,3,Female,Altaic,tur ,79,505,0.05,0.595079,8,20
Tigrigna,Eritrea,TigrignaEnglish,English,24,4,3,Male,Afro-Asiatic,tir ,30,453,0.0458,0.595079,17,25
Bulgarian,Bulgaria,BulgarianEnglish,English,23,1,4,Female,Indo-European,bul ,90,524,0.0642,0.411091,12,21
Polish,Poland,PolishEnglish,English,35,2,4,Female,Indo-European,pol ,100,514,0.0479,0.388004,14,25
English,Germany,EnglishEnglish,English,23,1,1,Female,Indo-European,eng ,101,514,0.0094,0.083191,11,19
Indonesian,Indonesia,IndonesianEnglish,English,26,3,3,Female,Austronesian,ind ,64,480,0.1461,0.595079,19,20
German,Germany,GermanMonolingual,Monolingual,11,10,3,Female,Indo-European,deu ,101,527,-0.0171,0.037325,6,13
Persian,Afghanistan,PersianRussian,Russian,34,3,4,Male,Indo-European,fas ,19,467,0.0603,0.555295,21,21
Turkish,Turkey,TurkishMonolingual,Monolingual,36,13,3,Female,Altaic,tur ,79,506,0.05,0.595079,8,20
German,Germany,GermanMonolingual,Monolingual,53,9,2,Male,Indo-European,deu ,101,558,-0.0171,0.037325,6,13
Estonian,USSR,EstonianFinnish,Finnish,23,2,3,Female,Uralic,est ,90,524,0.0547,0.595079,NA,NA
German,Germany,GermanEnglish,English,29,2,4,Female,Indo-European,deu ,101,505,-0.0171,0.037325,6,13
Spanish,Spain,SpanishEnglish,English,27,2,3,Female,Indo-European,spa ,118,497,0.0193,0.398649,18,23
Greek,Greece,GreekEnglish,English,18,0,3,Female,Indo-European,ell ,102,592,0.0403,0.497357,21,18
Georgian,Georgia,GeorgianEnglish,English,24,5,4,Male,Kartvelian,kat ,81,553,0.0183,0.595079,24,27
Arabic,Egypt,ArabicEnglish,English,32,7,3,Male,Afro-Asiatic,ara ,79,483,0.0638,0.595079,21,24
Turkish,Netherlands,TurkishEnglish,English,19,1,3,Male,Altaic,tur ,118,505,0.05,0.595079,8,20
German,Germany,GermanEnglish,English,20,1,4,Male,Indo-European,deu ,101,510,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,20,1,3,Female,Indo-European,deu ,101,550,-0.0171,0.037325,6,13
English,UnitedStates,EnglishMonolingual,Monolingual,24,3,4,Female,Indo-European,eng ,94,586,0.0094,0.083191,11,19
Portugese,Portugal,PortugeseEnglish,English,20,2,2,Female,Indo-European,por ,97,577,0.0586,0.4087,15,18
German,Germany,GermanEnglish,English,18,1,3,Female,Indo-European,deu ,101,575,-0.0171,0.037325,6,13
Kurdish,Iraq,KurdishArabic,Arabic,16,2,2,Male,Indo-European,kur ,47,480,0.0523,0.4257,11,22
German,Germany,GermanEnglish,English,29,1,1,Female,Indo-European,deu ,101,563,-0.0171,0.037325,6,13
Arabic,Morocco,ArabicFrench,French,30,0,4,Male,Afro-Asiatic,ara ,49,473,0.0638,0.595079,21,24
Romanian,Romania,RomanianEnglish,English,19,2,3,Female,Indo-European,ron ,86,529,0.0276,0.41365,24,20
German,Germany,GermanEnglish,English,22,0,3,Male,Indo-European,deu ,101,536,-0.0171,0.037325,6,13
Russian,USSR,RussianGerman,German,34,2,3,Female,Indo-European,rus ,90,511,0.0468,0.396083,12,22
Tamazight,Netherlands,TamazightArabic,Arabic,20,3,3,Female,Afro-Asiatic,tzm ,118,523,0.0838,0.595079,20,26
English,UnitedStates,EnglishMonolingual,Monolingual,23,1,4,Female,Indo-European,eng ,94,514,0.0094,0.083191,11,19
Arabic,Morocco,ArabicFrench,French,26,2,4,Male,Afro-Asiatic,ara ,49,463,0.0638,0.595079,21,24
Portugese,Brazil,PortugeseEnglish,English,29,6,3,Female,Indo-European,por ,106,544,0.0586,0.4087,15,18
Spanish,Colombia,SpanishEnglish,English,44,1,4,Female,Indo-European,spa ,82,472,0.0193,0.398649,18,23
Persian,Iran,PersianEnglish,English,29,5,4,Female,Indo-European,fas ,77,449,0.0603,0.555295,21,21
Russian,USSR,RussianEnglish,English,26,4,3,Female,Indo-European,rus ,90,512,0.0468,0.396083,12,22
Kurdish,Iraq,KurdishEnglish,English,32,7,4,Male,Indo-European,kur ,47,479,0.0523,0.4257,11,22
Arabic,Morocco,ArabicFrench,French,31,1,4,Male,Afro-Asiatic,ara ,49,534,0.0638,0.595079,21,24
Indonesian,Indonesia,IndonesianEnglish,English,23,5,3,Male,Austronesian,ind ,64,494,0.1461,0.595079,19,20
German,Germany,GermanEnglish,English,24,10,3,Female,Indo-European,deu ,101,535,-0.0171,0.037325,6,13
Arabic,Morocco,ArabicFrench,French,30,2,3,Male,Afro-Asiatic,ara ,49,528,0.0638,0.595079,21,24
Chinese,China,ChineseEnglish,English,36,3,4,Male,Sino-Tibetan,zho ,67,498,0.2937,0.595079,NA,NA
Arabic,Morocco,ArabicFrench,French,31,1,1,Male,Afro-Asiatic,ara ,49,448,0.0638,0.595079,21,24
Portugese,Portugal,PortugeseEnglish,English,40,2,3,Female,Indo-European,por ,97,508,0.0586,0.4087,15,18
German,Germany,GermanEnglish,English,23,1,4,Female,Indo-European,deu ,101,591,-0.0171,0.037325,6,13
Serbian,Yugoslavia,SerbianEnglish,English,34,3,3,Female,Indo-European,srp ,85,499,0.0638,0.395005,11,19
Arabic,Morocco,ArabicSpanish,Spanish,25,2,2,Female,Afro-Asiatic,ara ,49,543,0.0638,0.595079,21,24
Arabic,Morocco,ArabicFrench,French,24,1,3,Male,Afro-Asiatic,ara ,49,521,0.0638,0.595079,21,24
French,France,FrenchEnglish,English,25,8,1,Female,Indo-European,fra ,113,600,0.0128,0.398095,10,15
Chinese,China,ChineseEnglish,English,26,2,4,Female,Sino-Tibetan,zho ,67,441,0.2937,0.595079,NA,NA
English,Canada,EnglishMonolingual,Monolingual,27,4,4,Female,Indo-European,eng ,101,500,0.0094,0.083191,11,19
Arabic,Algeria,ArabicFrench,French,28,3,4,Male,Afro-Asiatic,ara ,83,482,0.0638,0.595079,21,24
Afrikaans,SouthAfrica,AfrikaansEnglish,English,48,6,4,Female,Indo-European,afr ,93,530,NA,0.010463,NA,NA
Russian,Belarus,RussianEnglish,English,23,7,4,Male,Indo-European,rus ,96,539,0.0468,0.396083,12,22
Portugese,Brazil,PortugeseEnglish,English,33,1,4,Female,Indo-European,por ,106,555,0.0586,0.4087,15,18
French,Belgium,FrenchEnglish,English,20,1,4,Male,Indo-European,fra ,109,489,0.0128,0.398095,10,15
Arabic,Morocco,ArabicFrench,French,24,11,3,Male,Afro-Asiatic,ara ,49,595,0.0638,0.595079,21,24
Greek,Greece,GreekEnglish,English,30,4,4,Male,Indo-European,ell ,102,487,0.0403,0.497357,21,18
Arabic,Iraq,ArabicEnglish,English,36,5,3,Female,Afro-Asiatic,ara ,47,532,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,19,1,3,Female,Indo-European,deu ,101,585,-0.0171,0.037325,6,13
English,Ghana,EnglishEnglish,English,27,22,2,Male,Indo-European,eng ,46,478,0.0094,0.083191,11,19
Spanish,Peru,SpanishEnglish,English,31,1,4,Male,Indo-European,spa ,85,476,0.0193,0.398649,18,23
Turkish,Turkey,TurkishMonolingual,Monolingual,20,10,2,Female,Altaic,tur ,79,501,0.05,0.595079,8,20
Persian,Iran,PersianMonolingual,Monolingual,17,4,3,Female,Indo-European,fas ,77,503,0.0603,0.555295,21,21
Bulgarian,Bulgaria,BulgarianEnglish,English,42,1,2,Female,Indo-European,bul ,90,503,0.0642,0.411091,12,21
English,UnitedKingdom,EnglishMonolingual,Monolingual,20,9,1,Male,Indo-European,eng ,105,524,0.0094,0.083191,11,19
German,Germany,GermanEnglish,English,34,1,1,Male,Indo-European,deu ,101,558,-0.0171,0.037325,6,13
German,Germany,GermanMonolingual,Monolingual,34,2,3,Female,Indo-European,deu ,101,506,-0.0171,0.037325,6,13
Pashto,Afghanistan,PashtoRussian,Russian,19,2,2,Female,Indo-European,pst ,19,489,NA,0.4588,18,21
Turkish,Netherlands,TurkishMonolingual,Monolingual,23,1,4,Female,Altaic,tur ,118,550,0.05,0.595079,8,20
Portugese,Portugal,PortugeseEnglish,English,27,2,2,Female,Indo-European,por ,97,523,0.0586,0.4087,15,18
Croatian,Czechslowakia,CroatianRussian,Russian,21,2,3,Female,Indo-European,hrv ,90,514,0.0638,0.395005,11,19
German,Germany,GermanEnglish,English,10,9,3,Female,Indo-European,deu ,101,541,-0.0171,0.037325,6,13
Turkish,Netherlands,TurkishEnglish,English,19,1,3,Female,Altaic,tur ,118,577,0.05,0.595079,8,20
Russian,Ukraine,RussianEnglish,English,18,2,2,Male,Indo-European,rus ,92,505,0.0468,0.396083,12,22
Turkish,Turkey,TurkishMonolingual,Monolingual,22,2,3,Male,Altaic,tur ,79,501,0.05,0.595079,8,20
Portugese,Brazil,PortugeseEnglish,English,21,1,3,Female,Indo-European,por ,106,503,0.0586,0.4087,15,18
Portugese,Brazil,PortugeseEnglish,English,31,3,4,Female,Indo-European,por ,106,471,0.0586,0.4087,15,18
Indonesian,Indonesia,IndonesianEnglish,English,30,1,4,Female,Austronesian,ind ,64,528,0.1461,0.595079,19,20
Arabic,Iraq,ArabicEnglish,English,19,2,3,Male,Afro-Asiatic,ara ,47,502,0.0638,0.595079,21,24
Polish,Poland,PolishEnglish,English,24,2,3,Female,Indo-European,pol ,100,599,0.0479,0.388004,14,25
Italian,Italy,ItalianEnglish,English,27,4,3,Male,Indo-European,ita ,99,480,-0.0011,0.358612,17,18
Hungarian,Hungary,HungarianGerman,German,27,4,4,Female,Uralic,hun ,96,581,0.0101,0.595079,6,13
Russian,USSR,RussianEnglish,English,18,2,2,Male,Indo-European,rus ,90,531,0.0468,0.396083,12,22
Arabic,Morocco,ArabicFrench,French,20,2,3,Female,Afro-Asiatic,ara ,49,511,0.0638,0.595079,21,24
Spanish,Mexico,SpanishEnglish,English,30,2,1,Female,Indo-European,spa ,83,511,0.0193,0.398649,18,23
German,Germany,GermanEnglish,English,31,4,4,Female,Indo-European,deu ,101,619,-0.0171,0.037325,6,13
English,Netherlands,EnglishGerman,German,35,4,4,Male,Indo-European,eng ,118,551,0.0094,0.083191,11,19
German,Germany,GermanPortugese,Portugese,34,0,3,Male,Indo-European,deu ,101,583,-0.0171,0.037325,6,13
Croatian,Croatia,CroatianEnglish,English,31,3,3,Female,Indo-European,hrv ,93,531,0.0638,0.395005,11,19
Afrikaans,SouthAfrica,AfrikaansEnglish,English,24,1,4,Female,Indo-European,afr ,93,548,NA,0.010463,NA,NA
Thai,Thailand,ThaiEnglish,English,33,2,4,Female,Tai-Kadai,tha,70,490,0.2404,0.595079,20,18
Hungarian,Hungary,HungarianEnglish,English,27,16,4,Female,Uralic,hun ,96,511,0.0101,0.595079,6,13
Finnish,Finland,FinnishSwedish,Swedish,53,4,3,Female,Uralic,fin ,111,484,0.0277,0.595079,13,17
Norwegian,Norway,NorwegianEnglish,English,42,3,4,Male,Indo-European,nor ,113,524,-0.0076,0.1598,14,24
Finnish,Finland,FinnishEnglish,English,32,3,4,Female,Uralic,fin ,111,479,0.0277,0.595079,13,17
Romanian,Romania,RomanianEnglish,English,20,2,3,Female,Indo-European,ron ,86,495,0.0276,0.41365,24,20
Polish,Poland,PolishRussian,Russian,21,2,3,Female,Indo-European,pol ,100,557,0.0479,0.388004,14,25
English,UnitedKingdom,EnglishFrench,French,30,3,4,Female,Indo-European,eng ,105,551,0.0094,0.083191,11,19
Persian,Afghanistan,PersianMonolingual,Monolingual,28,4,3,Male,Indo-European,fas ,19,479,0.0603,0.555295,21,21
Persian,Iran,PersianEnglish,English,34,2,4,Male,Indo-European,fas ,77,522,0.0603,0.555295,21,21
Kurdish,Iraq,KurdishArabic,Arabic,40,3,4,Male,Indo-European,kur ,47,465,0.0523,0.4257,11,22
Polish,Poland,PolishMonolingual,Monolingual,22,2,4,Female,Indo-European,pol ,100,523,0.0479,0.388004,14,25
Slovak,Czechslowakia,SlovakCzech,Czech,24,2,4,Female,Indo-European,slk ,90,488,NA,0.381011,NA,NA
Arabic,Morocco,ArabicArabic,Arabic,26,1,1,Female,Afro-Asiatic,ara ,49,480,0.0638,0.595079,21,24
Turkish,Turkey,TurkishMonolingual,Monolingual,22,3,3,Male,Altaic,tur ,79,463,0.05,0.595079,8,20
